"cmdName","Description","Link","Authors","Letter"
"avg_effect","stata module to calculate mean (standardized) effect size across multiple outcomes","https://econpapers.repec.org/software/bocbocode/s457196.htm","`Christopher Robert`","A"
"avplot2","stata modules for added variable plots","https://econpapers.repec.org/software/bocbocode/s404701.htm","`Nicholas Cox`","A"
"avplot3","stata module to generate partial regression plots for subsamples","https://econpapers.repec.org/software/bocbocode/s424601.htm","`Christopher Baum`","A"
"avplots4","stata module to graph added-variable plots for specified regressors in a single image","https://econpapers.repec.org/software/bocbocode/s450102.htm","`Ben Jann`","A"
"b1x2","stata module to account for changes when x2 is added to a base model with x1","https://econpapers.repec.org/software/bocbocode/s457814.htm","`Jonah Gelbach`","B"
"babibplot","stata module to plot two graph types which are rooted in bland-altman plots using journal and paper percentiles","https://econpapers.repec.org/software/bocbocode/s458375.htm","`Lutz Bornmann`","B"
"backrasch","stata module to implement a backward procedure with a rasch model","https://econpapers.repec.org/software/bocbocode/s453102.htm","`Jean`-`Benoit Hardouin`","B"
"backup","stata module to make daily backup of important files (windows only)","https://econpapers.repec.org/software/bocbocode/s457753.htm","`R`.` Casta`ñ`eda`","B"
"bacondecomp","stata module to perform a bacon decomposition of difference-in-differences estimation","https://econpapers.repec.org/software/bocbocode/s458676.htm","`Andrew Goodman`-`Bacon`,` Thomas Goldring`,` Austin Nichols`","B"
"baing","rats procedure to estimate factors in a factor model using bai-ng formulas","https://econpapers.repec.org/software/bocbocode/rts00012.htm","`Tom Doan`","B"
"baing","stata module to determine and estimate the number of common factors following bai and ng","https://econpapers.repec.org/software/bocbocode/s458851.htm","`H`é`ctor M`.` N`úñ`ez`,` Jesus Otero`","B"
"baiperron","rats procedure to perform bai-perron test for multiple structural changes","https://econpapers.repec.org/software/bocbocode/rts00013.htm","`Tom Doan`","B"
"balancetable","stata module to build a balance table and print it in a latex file or an excel file","https://econpapers.repec.org/software/bocbocode/s458424.htm","`Mattia Chiapello`","B"
"bandplot","stata module to plot summary statistics of responses for bands of predictors","https://econpapers.repec.org/software/bocbocode/s456980.htm","`Nicholas Cox`","B"
"bap","stata module to generate a bland-altman plot","https://econpapers.repec.org/software/bocbocode/s459322.htm","`Niels Henrik Bruun`","B"
"baplot","stata module to produce bland-altman plots","https://econpapers.repec.org/software/bocbocode/s457853.htm","`Paul Seed`","B"
